id;active;document_type_ids/id;document_type_ids/active;document_type_ids/code;document_type_ids/localization;document_type_ids/name;document_type_ids/report_name;document_type_ids/doc_code_prefix;document_type_ids/sequence;document_type_ids/internal_type;document_type_ids/validator_id/id;issuer_ids/id;name;receptor_ids/id;taxes_included
l10n_ar_account.dl_a;TRUE;l10n_ar_account.dc_a_f;TRUE;1;Argentina;FACTURAS A;FC;FA A ;10;invoice;l10n_ar_account.validator_numero_factura;l10n_ar_account.res_IVARI;A;l10n_ar_account.res_IVARIFM,l10n_ar_account.res_IVARI;FALSE
;;l10n_ar_account.dc_a_nd;TRUE;2;Argentina;NOTAS DE DEBITO A;ND;ND A ;20;debit_note;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_a_nc;TRUE;3;Argentina;NOTAS DE CREDITO A;NC;NC A ;30;credit_note;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_a_r;TRUE;4;Argentina;RECIBOS A;FREC;RE A ;40;receipt_invoice;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_a_nvc;TRUE;5;Argentina;NOTAS DE VENTA AL CONTADO A;;;50;;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_a_rg1415;TRUE;34;Argentina;COMPROBANTES A DEL APARTADO A  INCISO F  R G  N  1415;;;240;;;;;;
;;l10n_ar_account.dc_a_o_rg1415;TRUE;39;Argentina;OTROS COMPROBANTES A QUE CUMPLEN CON LA R G  1415;;;290;;;;;;
;;l10n_ar_account.dc_a_rf;TRUE;50;Argentina;RECIBO FACTURA A  REGIMEN DE FACTURA DE CREDITO;;;320;;;;;;
;;l10n_ar_account.dc_a_cvl;TRUE;60;Argentina;CUENTAS DE VENTA Y LIQUIDO PRODUCTO A;LPROD;LP A ;420;invoice;;;;;
;;l10n_ar_account.dc_a_l;TRUE;63;Argentina;LIQUIDACIONES A;LIQ;LQ A ;440;invoice;;;;;
;;l10n_ar_account.dc_a_t;TRUE;81;Argentina;TIQUE - FACTURA A;TIQ;TQ A ;560;invoice;;;;;
;;l10n_ar_account.dc_nc_a_t;TRUE;112;Argentina;TIQUE NOTA DE CREDITO A;NC;TNC A ;780;credit_note;;;;;
;;l10n_ar_account.dc_nd_a_t;TRUE;115;Argentina;TIQUE NOTA DE DEBITO A;ND;TND A ;810;debit_note;;;;;
l10n_ar_account.dl_b;TRUE;l10n_ar_account.dc_b_f;TRUE;6;Argentina;FACTURAS B;FC;FA B ;60;invoice;l10n_ar_account.validator_numero_factura;l10n_ar_account.res_IVARIFM,l10n_ar_account.res_IVARI;B;l10n_ar_account.res_CF,l10n_ar_account.res_RM,l10n_ar_account.res_IVAE;TRUE
;;l10n_ar_account.dc_b_nd;TRUE;7;Argentina;NOTAS DE DEBITO B;ND;ND B ;70;debit_note;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_b_nc;TRUE;8;Argentina;NOTAS DE CREDITO B;NC;NC B ;80;credit_note;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_b_r;TRUE;9;Argentina;RECIBOS B;FREC;RE B ;90;receipt_invoice;;;;;
;;l10n_ar_account.dc_b_nvc;TRUE;10;Argentina;NOTAS DE VENTA AL CONTADO B;;;100;;;;;;
;;l10n_ar_account.dc_b_rg1415;TRUE;35;Argentina;COMPROBANTES B DEL ANEXO I, APARTADO A, INC. F), RG N° 1415;;;250;;;;;;
;;l10n_ar_account.dc_b_o_rg1415;TRUE;40;Argentina;OTROS COMPROBANTES B QUE CUMPLAN CON LA R.G. N° 1415;;;300;;;;;;
;;l10n_ar_account.dc_b_cvl;TRUE;61;Argentina;CUENTAS DE VENTA Y LIQUIDO PRODUCTO B;LPROD;LP B ;430;invoice;;;;;
;;l10n_ar_account.dc_b_l;TRUE;64;Argentina;LIQUIDACIONES B;LIQ;LQ B ;450;invoice;;;;;
;;l10n_ar_account.dc_b_t;TRUE;82;Argentina;TIQUE - FACTURA B;TIQ;TQ B ;570;invoice;;;;;
;;l10n_ar_account.dc_nc_b_t;TRUE;113;Argentina;TIQUE NOTA DE CREDITO B;NC;TNC B ;790;credit_note;;;;;
;;l10n_ar_account.dc_nd_b_t;TRUE;116;Argentina;TIQUE NOTA DE DEBITO B;ND;TND B ;820;debit_note;;;;;
l10n_ar_account.dl_c;TRUE;l10n_ar_account.dc_c_f;TRUE;11;Argentina;FACTURAS C;FC;FA C ;110;invoice;l10n_ar_account.validator_numero_factura;l10n_ar_account.res_RM,l10n_ar_account.res_IVAE;C;l10n_ar_account.res_IVARIFM,l10n_ar_account.res_IVARI,l10n_ar_account.res_RM,l10n_ar_account.res_IVAE,l10n_ar_account.res_CF;TRUE
;;l10n_ar_account.dc_c_nd;TRUE;12;Argentina;NOTAS DE DEBITO C;ND;ND C ;120;debit_note;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_c_nc;TRUE;13;Argentina;NOTAS DE CREDITO C;NC;NC C ;130;credit_note;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_c_r;TRUE;15;Argentina;RECIBOS C;FREC;RE C ;150;receipt_invoice;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_c_nvc;TRUE;16;Argentina;NOTAS DE VENTA AL CONTADO C;;;160;;l10n_ar_account.validator_numero_factura;;;;
